detected_name,vessel_name,occurrences
MARAN ARIES,MARAN ARES,15
MARAN HERCUES,MARAN HERCULES,6
MARAN ORPEHUS,MARAN ORPHEUS,6
MARAN TRUST,MARAN TAURUS,6
MARAN ORHEUS,MARAN ORPHEUS,5
MARAN MARIA,MARAN MIRA,5
MARAN APRHRODITE,MARAN APHRODITE,4
MARAN HELLEN,MARAN HELEN,4
MARAN APO,MARAN APOLLO,4
MARAN ANTIOP,MARAN ANTIOPE,3
MARAN ARUCTURUS,MARAN ARCTURUS,3
MARAN ARIDNE,MARAN ARIADNE,3
MARAN THE,MARAN THETIS,3
MARAN HERCULE,MARAN HERCULES,3
MARAN SOLO,MARAN SOLON,3
MARAN ASPASISA,MARAN ASPASIA,2
MARAN HELIO,MARAN HELIOS,2
MARAN HERMIOME,MARAN HERMIONE,2
MARAN HEL,MARAN HELEN,2
MARAN HERCUELES,MARAN HERCULES,2
MARAN ACTURUS,MARAN ARCTURUS,2
MARAN LUPW,MARAN LUPUS,2
MARAN HERMIONES,MARAN HERMIONE,2
MARAN THEMS,MARAN THETIS,1
MARAN SOL,MARAN SOLON,1
MARAN ATALATA,MARAN ATALANTA,1
MARAN APPOLO,MARAN APOLLO,1
MARAN THETISC,MARAN THETIS,1
MARAN THETHIS,MARAN THETIS,1
MARAN TAURS,MARAN TAURUS,1
MARAN ATLANTA,MARAN ATALANTA,1
MARAN THETES,MARAN THETIS,1
MARAN ORPH,MARAN ORPHEUS,1
MARAN ORPHEU,MARAN ORPHEUS,1
MARAN TAUROS,MARAN TAURUS,1
MARAN TAJUS,MARAN TAURUS,1
MARAN TAJRUS,MARAN TAURUS,1
MARAN ARAIDNE,MARAN ARIADNE,1
MARAN DION,MARAN DIONE,1
MARAN PHPOEBE,MARAN PHOEBE,1
MARAN ATALAN,MARAN ATALANTA,1
MARAN OPRHEUS,MARAN ORPHEUS,1
MARAN PYTHI,MARAN PYTHIA,1
MARAN ANTIO,MARAN ANTIOPE,1
MARAN CLED,MARAN CLEO,1
